Day,date,admis_mean,admis_lower,admis_upper,,
0,2/21/20,4,3,5,,
1,2/22/20,2,1,2,,47
2,2/23/20,4,3,5,,
3,2/24/20,2,1,3,,
4,2/25/20,4,3,5,,
5,2/26/20,4,3,5,,
6,2/27/20,6,4,7,,
7,2/28/20,6,4,8,,
8,2/29/20,6,4,8,,
9,3/1/20,8,6,10,,
10,3/2/20,0,0,0,,
11,3/3/20,15,13,18,,
12,3/4/20,8,6,10,,
13,3/5/20,8,6,9,,
14,3/6/20,8,6,9,,
15,3/7/20,8,6,9,,
16,3/8/20,8,6,10,,
17,3/9/20,8,6,10,,
18,3/10/20,8,6,10,,
19,3/11/20,15,12,17,,
20,3/12/20,11,9,13,,
21,3/13/20,13,11,16,,
22,3/14/20,15,12,17,,
23,3/15/20,17,14,19,,
24,3/16/20,17,14,19,,
25,3/17/20,15,13,18,,
26,3/18/20,20,18,23,,
27,3/19/20,17,14,20,,
28,3/20/20,26,23,29,,
29,3/21/20,24,21,27,,
30,3/22/20,28,25,31,,
31,3/23/20,26,23,29,,
32,3/24/20,30,26,33,,
33,3/25/20,28,25,31,,
34,3/26/20,28,25,31,,
35,3/27/20,37,33,41,,
36,3/28/20,33,30,36,,
37,3/29/20,40,37,44,,
38,3/30/20,42,38,46,,
39,3/31/20,46,42,50,,
40,4/1/20,47,44,52,,
41,4/2/20,47,43,52,,
42,4/3/20,46,42,50,,
43,4/4/20,46,42,50,,
44,4/5/20,40,37,44,,
45,4/6/20,37,33,40,,
46,4/7/20,35,31,38,,
47,4/8/20,36,33,40,,
48,4/9/20,33,30,36,,
49,4/10/20,33,30,37,,
50,4/11/20,33,30,36,,
51,4/12/20,33,30,37,,
52,4/13/20,33,30,37,,
53,4/14/20,33,30,37,,
54,4/15/20,33,30,36,,
55,4/16/20,36,33,40,,
56,4/17/20,31,28,34,,
57,4/18/20,31,28,34,,
58,4/19/20,31,28,34,,
59,4/20/20,29,26,32,,
60,4/21/20,29,26,33,,
61,4/22/20,31,28,34,,
62,4/23/20,26,22,29,,
63,4/24/20,26,23,29,,
64,4/25/20,22,19,25,,
65,4/26/20,20,18,23,,
66,4/27/20,18,16,21,,
67,4/28/20,11,9,14,,
68,4/29/20,12,10,14,,
69,4/30/20,41,37,44,,
70,5/1/20,24,21,26,,
71,5/2/20,25,22,28,,
72,5/3/20,23,21,27,,
73,5/4/20,21,18,24,,
74,5/5/20,18,16,21,,
75,5/6/20,18,15,21,,
76,5/7/20,17,14,20,,
77,5/8/20,16,13,19,,
78,5/9/20,16,13,18,,
79,5/10/20,16,12,19,,
80,5/11/20,14,11,18,,
81,5/12/20,13,11,17,,
82,5/13/20,13,11,16,,
83,5/14/20,12,10,15,,
84,5/15/20,12,8,15,,
85,5/16/20,10,8,14,,
86,5/17/20,10,8,14,,
87,5/18/20,10,7,13,,
88,5/19/20,10,7,12,,
89,5/20/20,9,7,12,,
90,5/21/20,9,6,12,,
91,5/22/20,8,5,11,,
92,5/23/20,8,4,11,,
93,5/24/20,7,4,11,,
94,5/25/20,7,4,10,,
95,5/26/20,6,4,9,,
96,5/27/20,6,4,8,,
97,5/28/20,6,4,8,,
98,5/29/20,6,4,8,,
99,5/30/20,6,3,8,,
100,5/31/20,5,3,8,,
101,6/1/20,5,3,8,,
102,6/2/20,5,3,8,,
103,6/3/20,5,2,7,,
104,6/4/20,5,2,7,,
105,6/5/20,4,1,7,,
106,6/6/20,4,1,6,,
107,6/7/20,4,1,7,,
108,6/8/20,3,1,6,,
109,6/9/20,3,1,6,,
110,6/10/20,2,1,6,,
111,6/11/20,2,1,6,,
112,6/12/20,2,1,5,,
113,6/13/20,2,1,5,,
114,6/14/20,2,0,4,,
115,6/15/20,2,0,4,,
116,6/16/20,2,0,3,,
117,6/17/20,2,0,3,,
118,6/18/20,2,0,3,,
119,6/19/20,2,0,3,,
120,6/20/20,1,0,3,,
121,6/21/20,1,0,2,,
122,6/22/20,1,0,2,,
123,6/23/20,1,0,2,,
124,6/24/20,1,0,2,,
125,6/25/20,1,0,2,,
126,6/26/20,1,0,2,,
127,6/27/20,1,0,2,,
128,6/28/20,1,0,2,,
129,6/29/20,0,0,2,,
130,6/30/20,0,0,2,,
131,7/1/20,0,0,2,,
132,7/2/20,0,0,2,,
133,7/3/20,0,0,2,,
134,7/4/20,0,0,2,,
135,7/5/20,0,0,2,,
136,7/6/20,0,0,2,,
137,7/7/20,0,0,2,,
138,7/8/20,0,0,2,,
139,7/9/20,0,0,2,,
140,7/10/20,0,0,2,,
141,7/11/20,0,0,2,,
142,7/12/20,0,0,2,,
143,7/13/20,0,0,0,,
144,7/14/20,0,0,0,,
145,7/15/20,0,0,0,,
146,7/16/20,0,0,0,,
147,7/17/20,0,0,0,,
148,7/18/20,0,0,0,,
149,7/19/20,0,0,0,,
150,7/20/20,0,0,0,,
151,7/21/20,0,0,0,,
152,7/22/20,0,0,0,,
153,7/23/20,0,0,0,,
154,7/24/20,0,0,0,,
155,7/25/20,0,0,0,,
156,7/26/20,0,0,0,,
157,7/27/20,0,0,0,,
158,7/28/20,0,0,0,,
159,7/29/20,0,0,0,,
160,7/30/20,0,0,0,,
